gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN131851_c0_g2_i5	NA	NA	NA	NA	0.469397383	unbias	0.412414234	G46_M_mean	0.1024	0.1241	1.2121
TRINITY_DN131853_c5_g11_i2	strbp	Chr08	11167134	11167134	0.25097631	unbias	0.679878313	Brain_mmean	0.0514	0.0906	1.7625
TRINITY_DN131857_c0_g4_i3	NA	NA	NA	NA	0.937816554	unbias	0.36994159	G46_M_mean	0.0577	0.0637	1.1032
TRINITY_DN131862_c5_g1_i2	NA	NA	NA	NA	0.167525765	unbias	0.391499619	Ovary_mean	0.0256	0.0359	1.4013
TRINITY_DN131863_c2_g1_i1	NA	NA	NA	NA	0.410538295	unbias	0.350990089	Ovary_mean	0.0434	0.0602	1.3869
TRINITY_DN131864_c2_g5_i1	ptar1	Chr01	117366486	117366486	0.161232844	unbias	0.399159222	Ovary_mean	0.1672	0.3178	1.9008
TRINITY_DN131867_c1_g2_i1	NA	NA	NA	NA	0.344912628	unbias	0.579938525	Ovary_mean	0.0509	0.0626	1.2314
TRINITY_DN131868_c0_g11_i1	NA	NA	NA	NA	0.749082737	unbias	0.745742129	Brain_mmean	0.2863	0.5055	1.7657
TRINITY_DN131869_c0_g1_i1	nbas	Chr05	136189727	136189727	-0.39702266	unbias	0.541891161	Ovary_mean	0.126	0.1829	1.452
TRINITY_DN131874_c0_g4_i2	NA	NA	NA	NA	-0.219251133	unbias	0.183833034	Brain_mmean	0.0332	0.0436	1.3136
TRINITY_DN131875_c4_g6_i1	NA	NA	NA	NA	-0.089554194	unbias	0.355763509	Ovary_mean	0.0732	0.1364	1.8638
TRINITY_DN131877_c0_g1_i2	NA	NA	NA	NA	0.310941925	unbias	0.327730049	Brain_fmean	0.069	0.0798	1.1566
TRINITY_DN131877_c0_g2_i1	NA	NA	NA	NA	0.267655486	unbias	0.740863197	Brain_fmean	0.0416	0.0585	1.4072
TRINITY_DN131878_c1_g4_i1	NA	NA	NA	NA	-0.150255454	unbias	0.339464385	Ovary_mean	0.0604	0.1119	1.8527
TRINITY_DN131879_c4_g3_i4	nus1	Chr05	70119941	70119941	0.197169776	unbias	0.301096392	Brain_fmean	0.0333	0.0281	0.8448
TRINITY_DN131880_c0_g1_i1	NA	NA	NA	NA	0.102619204	unbias	0.440241898	G43_M_mean	0.0605	0.0597	0.9861
TRINITY_DN131881_c0_g1_i6	NA	NA	NA	NA	0.212958191	unbias	0.335709484	Brain_mmean	0.1233	0.2423	1.9659
TRINITY_DN131885_c2_g2_i1	syngr1	Chr04	110485877	110485877	0.804946978	unbias	0.910478999	Brain_fmean	0.1019	0.147	1.4428
TRINITY_DN131885_c2_g5_i1	NA	NA	NA	NA	-0.142334384	unbias	0.538500513	Ovary_mean	0.0377	0.0518	1.3723
TRINITY_DN131887_c3_g2_i2	NA	NA	NA	NA	0.014451681	unbias	0.315943567	Ovary_mean	0.0166	0.0257	1.5443
TRINITY_DN131890_c0_g1_i1	snrnp40	Chr02	53367527	53367527	0.280347917	unbias	0.205762645	Brain_mmean	0.0747	0.127	1.7009
TRINITY_DN131894_c17_g4_i6	NA	NA	NA	NA	0.166010198	unbias	0.422865566	Brain_fmean	0.0232	0.023	0.9941
TRINITY_DN131896_c2_g2_i3	rhag	scaffold_986	15660	15660	0.402969393	unbias	0.566617339	Ovary_mean	0.1273	0.1644	1.2918
TRINITY_DN131896_c3_g1_i2	NA	NA	NA	NA	-0.183783515	unbias	0.42801413	Liver_mmean	0.1078	0.1484	1.3764
TRINITY_DN131899_c0_g1_i1	NA	NA	NA	NA	-0.07059867	unbias	0.411022716	Ovary_mean	0.0326	0.0525	1.6074
TRINITY_DN131904_c0_g1_i1	NA	NA	NA	NA	0.197546704	unbias	0.39897295	Brain_mmean	0.0392	0.0646	1.6476
TRINITY_DN131905_c2_g3_i1	NA	NA	NA	NA	0.275446543	unbias	0.386003792	Testis_mean	0.1487	0.2087	1.4038
TRINITY_DN131905_c3_g3_i7	bahcc1-like	Chr10	20438514	20438514	0.332294273	unbias	0.653886077	Brain_mmean	0.0982	0.0872	0.8877
TRINITY_DN131906_c3_g1_i1	NA	NA	NA	NA	0.071444326	unbias	0.550167114	G43_M_mean	0.0741	0.0985	1.3306
TRINITY_DN131913_c3_g1_i8	sh3yl1	Chr05	129768294	129768294	0.364684818	unbias	0.279353876	Ovary_mean	0.0838	0.1146	1.3666
TRINITY_DN131915_c1_g1_i4	NA	NA	NA	NA	-0.298672888	unbias	0.211351624	G46_M_mean	0.0824	0.161	1.9552
TRINITY_DN131927_c5_g1_i2	LOC100491945	Chr05	11217010	11217010	0.041176436	unbias	0.563760942	Ovary_mean	0.1068	0.1655	1.5495
TRINITY_DN131927_c6_g3_i1	NA	NA	NA	NA	-0.084263223	unbias	0.20064324	G27_fmean	0.0527	0.0864	1.6394
TRINITY_DN131939_c2_g8_i2	NA	NA	NA	NA	-0.437824506	unbias	0.613094051	Ovary_mean	0.0356	0.0585	1.6449
TRINITY_DN131941_c0_g2_i1	NA	NA	NA	NA	-0.241229673	unbias	0.55104183	Liver_mmean	0.1422	0.2068	1.4539
TRINITY_DN131943_c0_g1_i2	NA	NA	NA	NA	0.242869727	unbias	0.584600106	Ovary_mean	0.064	0.0871	1.3616
TRINITY_DN131945_c1_g5_i4	NA	NA	NA	NA	0.052700421	unbias	0.519664717	Ovary_mean	0.0845	0.1218	1.441
TRINITY_DN131947_c7_g4_i1	krit1	Chr06	23382569	23382569	-0.314577717	unbias	0.05957562	Testis_mean	0.0106	0.0065	0.615
TRINITY_DN131949_c1_g2_i3	NA	NA	NA	NA	0.459273154	unbias	0.582505683	Brain_mmean	0.0349	0.0462	1.3239
TRINITY_DN131949_c2_g4_i1	NA	NA	NA	NA	0.547901549	unbias	0.423162241	Brain_mmean	0.0204	0.0305	1.4916
TRINITY_DN131949_c3_g1_i1	pdf	Chr04	62250610	62250610	-0.296025742	unbias	0.478263915	Ovary_mean	0.0236	0.0286	1.2088
TRINITY_DN131952_c0_g2_i1	NA	NA	NA	NA	0.880590676	unbias	0.504294977	G23_mmean	0.1446	0.2829	1.9571
TRINITY_DN131955_c1_g2_i7	NA	NA	NA	NA	-0.080979554	unbias	0.270855956	G23_fmean	0.0509	0.0904	1.7767
TRINITY_DN131957_c0_g2_i1	rps6kc1	Chr05	10385287	10385287	0.189095671	unbias	0.225987615	Brain_mmean	0.0295	0.0441	1.4965
TRINITY_DN131962_c1_g7_i2	NA	NA	NA	NA	0.224688134	unbias	0.317306926	Ovary_mean	0.0931	0.1342	1.4412
TRINITY_DN131962_c1_g8_i4	fam212b	Chr02	72832889	72832889	-0.302822524	unbias	0.373400665	G46_M_mean	0.1017	0.1224	1.2039
TRINITY_DN131963_c0_g1_i1	NA	NA	NA	NA	0.254198189	unbias	0.729411829	Brain_mmean	0.0354	0.0415	1.1725
TRINITY_DN131965_c2_g2_i1	NA	NA	NA	NA	0.643218261	unbias	0.363976095	Ovary_mean	0.1306	0.2036	1.5589
TRINITY_DN131970_c0_g8_i2	NA	NA	NA	NA	0.144631134	unbias	0.77373259	Brain_mmean	0.0895	0.1155	1.29
TRINITY_DN131973_c1_g4_i1	NA	NA	NA	NA	1.206902422	unbias	0.447091205	Liver_mmean	0.0483	0.0542	1.1223
TRINITY_DN131976_c6_g1_i8	aaed1	Chr01	124125662	124125662	0.466663472	unbias	0.216832524	Brain_mmean	0.0708	0.1208	1.7055
TRINITY_DN131977_c9_g1_i3	NA	NA	NA	NA	0.015859526	unbias	0.420003801	G23_fmean	0.1431	0.1648	1.1515
TRINITY_DN131978_c1_g1_i1	l3mbtl3	Chr02	57636410	57636410	-0.00331219	unbias	0.324995787	Ovary_mean	0.1978	0.3204	1.6194
TRINITY_DN131986_c2_g1_i1	NA	NA	NA	NA	0.948939354	unbias	0.674011353	Ovary_mean	0.0717	0.1004	1.3996
TRINITY_DN131986_c3_g1_i2	NA	NA	NA	NA	0.219599755	unbias	0.39978661	Ovary_mean	0.0511	0.0853	1.6703
TRINITY_DN131991_c1_g1_i2	NA	NA	NA	NA	0.596314752	unbias	0.373137538	Brain_fmean	0.0288	0.0487	1.6918
TRINITY_DN131995_c1_g1_i1	LOC101730630	scaffold_36	97865	97865	-0.244123335	unbias	0.496892433	Ovary_mean	0.0856	0.1457	1.7028
TRINITY_DN131996_c0_g1_i1	dars2-like	Chr04	87626035	87626035	0.375028952	unbias	0.562876417	G23_mmean	0.0637	0.0959	1.5053
TRINITY_DN131997_c11_g1_i1	NA	NA	NA	NA	0.64847432	unbias	0.600846975	Liver_fmean	0.0166	0.0189	1.14
TRINITY_DN132003_c1_g9_i1	trmt12-like	Chr08	17532617	17532617	0.545413164	unbias	0.328223457	G46_M_mean	0.0792	0.1335	1.6854
TRINITY_DN132008_c2_g1_i1	NA	NA	NA	NA	0.412419712	unbias	0.502598293	G46_M_mean	0.0653	0.0971	1.4866
TRINITY_DN132012_c5_g2_i1	NA	NA	NA	NA	-0.069990807	unbias	0.527862488	Ovary_mean	0.0119	0.0147	1.238
TRINITY_DN132014_c1_g4_i2	NA	NA	NA	NA	0.204181828	unbias	0.432330369	Ovary_mean	0.1462	0.2558	1.75
TRINITY_DN132018_c4_g1_i6	NA	NA	NA	NA	-0.315311999	unbias	0.055821087	G23_fmean	0.122	0.1799	1.4748
TRINITY_DN132022_c5_g3_i1	edem3-like	Chr04	103857337	103857337	0.323703236	unbias	0.516214099	G46_M_mean	0.0421	0.0658	1.5627
TRINITY_DN132024_c1_g3_i8	mrpl15	Chr06	100129994	100129994	-0.560127163	unbias	0.426451139	G43_F_mean	0.1107	0.0562	0.508
TRINITY_DN132028_c2_g1_i2	zbtb3	Chr04	39733312	39733312	0.239789005	unbias	0.397074224	Ovary_mean	0.0017	0.0025	1.4298
TRINITY_DN132030_c0_g1_i2	NA	NA	NA	NA	0.29884307	unbias	0.65323275	Ovary_mean	0.0833	0.1255	1.5077
TRINITY_DN132031_c0_g1_i1	NA	NA	NA	NA	0.242943023	unbias	0.742328483	Ovary_mean	0.2167	0.3329	1.536
TRINITY_DN132031_c1_g1_i2	NA	NA	NA	NA	-0.039663284	unbias	0.605130196	Brain_fmean	0.0671	0.0558	0.8319
TRINITY_DN132031_c1_g3_i1	NA	NA	NA	NA	-0.250782645	unbias	0.48079095	Testis_mean	0.1588	0.2474	1.5575
TRINITY_DN132034_c1_g4_i11	NA	NA	NA	NA	0.414220331	unbias	0.441068685	Brain_fmean	0.072	0.1231	1.7114
TRINITY_DN132035_c1_g1_i1	NA	NA	NA	NA	-0.042142345	unbias	0.317972029	Ovary_mean	0.0774	0.1165	1.5044
TRINITY_DN132040_c1_g1_i3	NA	NA	NA	NA	1.698520369	unbias	0.721357272	Liver_mmean	0.0401	0.0755	1.8832
TRINITY_DN132040_c1_g2_i1	NA	NA	NA	NA	-0.130598325	unbias	0.837446	Liver_mmean	0.1065	0.0632	0.5932
TRINITY_DN132047_c2_g1_i1	LOC101731682	Chr02	72175349	72175349	0.134240699	unbias	0.514512453	Ovary_mean	0.1003	0.159	1.5854
TRINITY_DN132047_c3_g1_i4	NA	NA	NA	NA	-0.233482394	unbias	0.45797707	Brain_mmean	0.0335	0.0557	1.6627
TRINITY_DN132053_c4_g3_i1	NA	NA	NA	NA	-0.191990128	unbias	0.269552677	Ovary_mean	0.0171	0.0258	1.5117
TRINITY_DN132055_c1_g1_i1	NA	NA	NA	NA	0.552409432	unbias	0.741029581	Brain_mmean	0.1448	0.2093	1.4456
TRINITY_DN132057_c6_g1_i1	fam159b	Chr01	175503421	175503421	0.0233574	unbias	0.372116449	Ovary_mean	0.013	0.0136	1.046
TRINITY_DN132061_c1_g1_i1	cyp51a1	Chr06	23356542	23356542	-0.399586534	unbias	0.172808653	G27_mmean	0.0502	0.0637	1.2687
TRINITY_DN132061_c3_g1_i3	NA	NA	NA	NA	0.054858465	unbias	0.499362906	Ovary_mean	0.0498	0.0845	1.6962
TRINITY_DN132063_c0_g1_i2	NA	NA	NA	NA	0.057538852	unbias	0.605139883	Brain_mmean	0.0179	0.0299	1.6721
TRINITY_DN132065_c4_g1_i5	NA	NA	NA	NA	-0.44225519	unbias	0.456560227	Ovary_mean	0.0396	0.0572	1.4449
TRINITY_DN132073_c2_g1_i1	NA	NA	NA	NA	0.573648436	unbias	0.470758404	Brain_mmean	0.0039	0.0048	1.228
TRINITY_DN132075_c0_g1_i5	NA	NA	NA	NA	0.407116722	unbias	0.769154022	Brain_fmean	0.0831	0.0845	1.0168
TRINITY_DN132077_c0_g1_i3	NA	NA	NA	NA	0.166805652	unbias	0.551207825	Ovary_mean	0.0716	0.0748	1.045
TRINITY_DN132079_c8_g3_i1	NA	NA	NA	NA	-0.016901295	unbias	0.626404579	Brain_fmean	0.1881	0.3063	1.6288
TRINITY_DN132085_c5_g1_i2	mapk12	Chr03	62075894	62075894	-0.120116115	unbias	0.494604675	Brain_mmean	0.0798	0.0414	0.5186
TRINITY_DN132089_c3_g1_i1	NA	NA	NA	NA	0.381876486	unbias	0.612113189	Ovary_mean	0.0546	0.0696	1.2748
TRINITY_DN132091_c0_g4_i8	dusp4	Chr01	78840791	78840791	-0.160104942	unbias	0.311500976	Brain_fmean	0.0678	0.0971	1.4331
TRINITY_DN132095_c9_g2_i1	NA	NA	NA	NA	-0.200695972	unbias	0.486321804	G43_M_mean	0.0433	0.0705	1.6267
TRINITY_DN132095_c9_g5_i2	NA	NA	NA	NA	0.249753131	unbias	0.609348087	Testis_mean	0.0991	0.1817	1.8322
TRINITY_DN132098_c0_g2_i2	tesk2	Chr04	72981415	72981415	0.206040059	unbias	0.686753578	Ovary_mean	0.1276	0.2233	1.7497
TRINITY_DN132098_c0_g3_i1	NA	NA	NA	NA	0.254976012	unbias	0.731513556	Brain_fmean	0.0319	0.0546	1.7132
TRINITY_DN132100_c0_g1_i1	ubxn2b	Chr06	101449636	101449636	-0.226146644	unbias	0.640727703	Brain_mmean	0.0876	0.143	1.6325
TRINITY_DN132102_c2_g4_i4	NA	NA	NA	NA	0.028352562	unbias	0.327486501	Brain_mmean	0.0509	0.0612	1.2031
TRINITY_DN132104_c0_g2_i3	NA	NA	NA	NA	-0.441104218	unbias	0.500236851	Brain_mmean	0.112	0.2009	1.7936
TRINITY_DN132106_c0_g1_i1	fgf7	Chr03	94387861	94387861	-0.001799901	unbias	0.348781328	Ovary_mean	0.079	0.1306	1.6539
TRINITY_DN132108_c9_g1_i1	NA	NA	NA	NA	0.331548209	unbias	0.335658659	Ovary_mean	0.1676	0.2565	1.53
TRINITY_DN132113_c7_g1_i1	LOC100487777	Chr01	65368064	65368064	0.435874537	unbias	0.531919922	Ovary_mean	0.0479	0.0686	1.4308
TRINITY_DN132116_c2_g13_i3	NA	NA	NA	NA	-0.098043262	unbias	0.328464004	Ovary_mean	0.1104	0.1804	1.635
TRINITY_DN132116_c2_g6_i3	NA	NA	NA	NA	-0.494163806	unbias	0.350538437	Ovary_mean	0.0798	0.1429	1.7901
TRINITY_DN132118_c1_g4_i4	NA	NA	NA	NA	0.661107278	unbias	0.517457946	Brain_mmean	0.1288	0.2276	1.7671
TRINITY_DN132119_c0_g1_i1	NA	NA	NA	NA	0.393192064	unbias	0.400368563	Testis_mean	0.1221	0.2078	1.7015
TRINITY_DN132121_c0_g4_i2	NA	NA	NA	NA	0.059089595	unbias	0.447346575	Brain_mmean	0.0867	0.1253	1.4465
TRINITY_DN132122_c1_g1_i1	NA	NA	NA	NA	0.276381167	unbias	0.732555184	Brain_fmean	0.0479	0.0315	0.6574
TRINITY_DN132123_c0_g2_i1	NA	NA	NA	NA	0.114263845	unbias	0.206545719	Brain_fmean	0.043	0.0505	1.1756
TRINITY_DN132126_c1_g8_i2	birc5.2	Chr10	23134569	23134569	-0.06123498	unbias	0.250202963	Ovary_mean	0.0067	0.0126	1.8778
TRINITY_DN132127_c0_g2_i2	rbm26	Chr02	121960527	121960527	-0.222320201	unbias	0.267010835	Ovary_mean	0.0517	0.0788	1.5244
TRINITY_DN132128_c1_g1_i4	NA	NA	NA	NA	0.057242659	unbias	0.667395865	Brain_fmean	0.0275	0.0548	1.9957
TRINITY_DN132129_c0_g1_i2	NA	NA	NA	NA	0.011230407	unbias	0.379590431	Brain_mmean	0.0669	0.0737	1.102
TRINITY_DN132129_c1_g2_i2	tubgcp4	Chr03	97117683	97117683	0.155473072	unbias	0.380480835	Ovary_mean	0.0463	0.0614	1.3273
TRINITY_DN132133_c1_g1_i1	NA	NA	NA	NA	0.187593049	unbias	0.689311442	Brain_fmean	0.0415	0.0496	1.1957
TRINITY_DN132140_c2_g2_i1	gpatch3	Chr02	51985122	51985122	-0.312268241	unbias	0.518705093	Brain_mmean	0.0362	0.0623	1.7229
TRINITY_DN132141_c1_g1_i2	NA	NA	NA	NA	-0.048737073	unbias	0.416010444	Ovary_mean	0.0961	0.1624	1.6907
TRINITY_DN132143_c2_g1_i3	dnajc19	scaffold_24	429451	429451	0.293134335	unbias	0.230049812	G23_mmean	0.0998	0.1711	1.715
TRINITY_DN132145_c0_g3_i20	NA	NA	NA	NA	-0.071806174	unbias	0.746934961	Brain_mmean	0.0239	0.0308	1.29
TRINITY_DN132146_c0_g1_i1	42Sp43	Chr10	3444281	3444281	-0.001875247	unbias	0.32115108	Testis_mean	0.0653	0.1027	1.5734
TRINITY_DN132148_c8_g2_i1	NA	NA	NA	NA	-0.149524169	unbias	0.145714258	G23_fmean	0.0223	0.018	0.8078
TRINITY_DN132148_c8_g5_i2	NA	NA	NA	NA	0.047134022	unbias	0.556582177	Brain_fmean	0.074	0.0659	0.8905
TRINITY_DN132158_c1_g2_i9	NA	NA	NA	NA	0.215603532	unbias	0.663305671	Brain_mmean	0.1119	0.1092	0.9761
TRINITY_DN132163_c5_g4_i2	NA	NA	NA	NA	0.242467218	unbias	0.370764188	Brain_mmean	0.0426	0.0515	1.2087
TRINITY_DN132163_c5_g7_i3	NA	NA	NA	NA	-0.30002913	unbias	0.500405129	Ovary_mean	0.0676	0.0819	1.211
TRINITY_DN132165_c0_g3_i4	NA	NA	NA	NA	1.022205436	unbias	0.601679077	G43_M_mean	0.0884	0.1374	1.5549
TRINITY_DN132168_c0_g1_i4	nob1	Chr04	62439859	62439859	0.382727019	unbias	0.23143246	G27_mmean	0.0444	0.0755	1.6988
TRINITY_DN132171_c0_g1_i13	NA	NA	NA	NA	0.088679599	unbias	0.427784288	Ovary_mean	0.0785	0.0885	1.1272
TRINITY_DN132174_c3_g1_i2	NA	NA	NA	NA	0.192733386	unbias	0.635030422	Brain_mmean	0.0069	0.0091	1.3162
TRINITY_DN132176_c6_g1_i1	NA	NA	NA	NA	-0.126908999	unbias	0.284546995	Ovary_mean	0.0152	0.021	1.3859
TRINITY_DN132176_c6_g2_i1	NA	NA	NA	NA	0.086380576	unbias	0.354244249	Ovary_mean	0.0148	0.0107	0.7209
TRINITY_DN132180_c9_g5_i6	gif	Chr07	59567845	59567845	0.683303597	unbias	0.368352187	Brain_mmean	0.0695	0.0984	1.4163
TRINITY_DN132181_c5_g1_i2	NA	NA	NA	NA	-0.153954736	unbias	0.622480996	Ovary_mean	0.0087	0.0118	1.3518
TRINITY_DN132181_c6_g2_i1	NA	NA	NA	NA	0.416316377	unbias	0.484475263	Brain_fmean	0.103	0.0773	0.7504
TRINITY_DN132182_c4_g1_i3	fignl1	Chr06	68645174	68645174	-0.130211774	unbias	0.420719808	G46_M_mean	0.1658	0.2833	1.7081
TRINITY_DN132185_c3_g10_i3	NA	NA	NA	NA	-0.17736944	unbias	0.438487495	Ovary_mean	0.053	0.0974	1.8355
TRINITY_DN132188_c0_g1_i4	NA	NA	NA	NA	-0.179977034	unbias	0.23309803	G23_mmean	0.0534	0.0622	1.1649
TRINITY_DN132189_c0_g1_i2	NA	NA	NA	NA	0.416584098	unbias	0.585492727	Brain_mmean	0.0732	0.139	1.8993
TRINITY_DN132193_c1_g1_i2	NA	NA	NA	NA	0.064036561	unbias	0.457857063	Testis_mean	0.0883	0.153	1.7317
TRINITY_DN132195_c1_g1_i1	NA	NA	NA	NA	0.059640319	unbias	0.092319098	G23_mmean	0.007	0.0107	1.5157
TRINITY_DN132197_c4_g11_i2	NA	NA	NA	NA	-0.250457625	unbias	0.438699505	G23_mmean	0.157	0.1666	1.0608
TRINITY_DN132201_c3_g4_i2	NA	NA	NA	NA	0.93924207	unbias	0.724671235	Brain_fmean	0.1735	0.2042	1.1774
TRINITY_DN132204_c2_g3_i1	net1	Chr03	75108376	75108376	0.301428716	unbias	0.449359192	Brain_mmean	0.1197	0.1828	1.5276
TRINITY_DN132208_c6_g4_i1	phospho2	Chr09	63330238	63330238	0.704287511	unbias	0.524347907	Liver_fmean	0.0994	0.1834	1.8446
TRINITY_DN132212_c1_g1_i1	NA	NA	NA	NA	0.13494133	unbias	0.458081645	Ovary_mean	0.0065	0.0098	1.5113
TRINITY_DN132215_c2_g2_i3	NA	NA	NA	NA	0.450385097	unbias	0.203788491	Ovary_mean	0.0527	0.0656	1.2466
TRINITY_DN132218_c3_g1_i4	NA	NA	NA	NA	1.114791868	unbias	0.279507378	Brain_mmean	0.0648	0.0633	0.9766
TRINITY_DN132219_c3_g1_i1	slain2-like	Chr08	44168561	44168561	-0.124773992	unbias	0.141345019	Brain_mmean	0.0844	0.1169	1.3854
TRINITY_DN132221_c1_g2_i1	NA	NA	NA	NA	0.370136203	unbias	0.421419369	G43_M_mean	0.0755	0.1449	1.9198
TRINITY_DN132223_c0_g1_i3	NA	NA	NA	NA	-0.058030463	unbias	0.429159274	Brain_fmean	0.0425	0.0699	1.6435
TRINITY_DN132225_c0_g1_i2	NA	NA	NA	NA	-0.010374532	unbias	0.202374242	Brain_fmean	0.0166	0.0208	1.2517
TRINITY_DN132228_c1_g9_i1	NA	NA	NA	NA	0.348641238	unbias	0.595053314	Ovary_mean	0.0637	0.0704	1.1042
TRINITY_DN132229_c0_g2_i2	NA	NA	NA	NA	0.238732197	unbias	0.309101968	G46_M_mean	0.1674	0.2698	1.6112
TRINITY_DN132231_c0_g2_i2	NA	NA	NA	NA	0.205792913	unbias	0.117911184	Liver_fmean	0.0931	0.1477	1.5864
TRINITY_DN132232_c1_g1_i1	NA	NA	NA	NA	-0.102655453	unbias	0.36464829	Brain_fmean	0.2147	0.3136	1.4605
TRINITY_DN132233_c0_g1_i2	NA	NA	NA	NA	0.352452514	unbias	0.395819073	G23_fmean	0.1119	0.2145	1.9169
TRINITY_DN132235_c2_g1_i3	NA	NA	NA	NA	0.511433242	unbias	0.332709497	Ovary_mean	0.1176	0.2038	1.7339
TRINITY_DN132235_c2_g4_i3	NA	NA	NA	NA	-0.250831316	unbias	0.214382758	Ovary_mean	0.0346	0.0553	1.5983
TRINITY_DN132236_c0_g2_i2	NA	NA	NA	NA	0.026626693	unbias	0.55573845	Brain_mmean	0.0536	0.0899	1.6767
TRINITY_DN132241_c1_g2_i1	clic3	Chr08	432006	432006	-0.320876595	unbias	0.325242926	G43_F_mean	0.1149	0.1981	1.7248
TRINITY_DN132243_c0_g2_i1	myo3b-like.1	Chr09	62995390	62995390	0.234311081	unbias	0.389997276	Ovary_mean	0.0172	0.0288	1.6717
TRINITY_DN132244_c1_g1_i5	LOC100486741	Chr04	55269403	55269403	-0.171936269	unbias	0.348373078	Ovary_mean	0.0435	0.0616	1.4149
TRINITY_DN132245_c4_g2_i3	kiaa0196	Chr06	129718293	129718293	0.696208074	unbias	0.491320042	G27_mmean	0.0785	0.0873	1.1119
TRINITY_DN132249_c0_g1_i2	NA	NA	NA	NA	0.194322364	unbias	0.545039251	Brain_fmean	0.0445	0.0503	1.1298
TRINITY_DN132249_c1_g2_i4	stam	Chr06	20124219	20124219	0.049200244	unbias	0.702408681	Ovary_mean	0.1657	0.2848	1.7186
TRINITY_DN132252_c3_g1_i1	NA	NA	NA	NA	0.10780475	unbias	0.330022734	Ovary_mean	0.0266	0.0532	1.9964
TRINITY_DN132254_c0_g1_i1	NA	NA	NA	NA	0.252693591	unbias	0.453371686	G23_mmean	0.0325	0.049	1.5073
TRINITY_DN132256_c2_g1_i7	NA	NA	NA	NA	0.392509997	unbias	0.351943574	Brain_fmean	0.0183	0.0244	1.3382
TRINITY_DN132257_c1_g1_i8	NA	NA	NA	NA	-0.227001712	unbias	0.319963304	Ovary_mean	0.1258	0.1825	1.4507
TRINITY_DN132258_c2_g1_i1	NA	NA	NA	NA	0.176268988	unbias	0.362344853	Ovary_mean	0.0912	0.0836	0.9168
TRINITY_DN132264_c1_g1_i5	il1r2	Chr02	107122084	107122084	0.39658035	unbias	0.616114047	Brain_mmean	0.0893	0.1479	1.6554
TRINITY_DN132274_c3_g1_i5	NA	NA	NA	NA	-0.492964074	unbias	0.101972523	Testis_mean	0.0134	0.0119	0.8852
TRINITY_DN132278_c0_g1_i3	LOC100489670	Chr02	46267913	46267913	-0.1294486	unbias	0.253023137	Ovary_mean	0.0204	0.0249	1.2195
TRINITY_DN132285_c0_g2_i1	NA	NA	NA	NA	0.958753686	unbias	0.676008075	Brain_mmean	0.0776	0.129	1.6612
TRINITY_DN132287_c0_g1_i1	NA	NA	NA	NA	0.029297274	unbias	0.355217895	G23_fmean	0.0597	0.1118	1.8747
TRINITY_DN132292_c0_g1_i2	LOC100495429	Chr09	46235139	46235139	0.103986616	unbias	0.397466607	Ovary_mean	0.0498	0.0804	1.6152
TRINITY_DN132293_c0_g2_i1	NA	NA	NA	NA	-0.025214948	unbias	0.621224614	Ovary_mean	0.1319	0.1677	1.2716
TRINITY_DN132295_c1_g2_i5	bhlhe22	Chr06	103340544	103340544	-0.267079	unbias	0.329893677	Brain_fmean	0.0104	0.0093	0.8914
TRINITY_DN132298_c4_g2_i1	NA	NA	NA	NA	0.359057586	unbias	0.649357145	Brain_mmean	0.0612	0.053	0.8655
TRINITY_DN132299_c1_g1_i4	NA	NA	NA	NA	0.374727369	unbias	0.697944918	Brain_mmean	0.0403	0.0575	1.4248
TRINITY_DN132302_c0_g5_i3	NA	NA	NA	NA	0.074130502	unbias	0.417473971	Brain_mmean	0.1054	0.172	1.6317
TRINITY_DN132305_c3_g3_i2	dcaf5	Chr08	89450283	89450283	-0.341465405	unbias	0.485233453	Ovary_mean	0.2171	0.3229	1.4875
TRINITY_DN132305_c3_g4_i3	NA	NA	NA	NA	-4.669217864	female	0.930995107	Ovary_mean	0.1371	0.2527	1.8432
TRINITY_DN132311_c6_g1_i4	dph6-like	Chr08	91321973	91321973	0.070770803	unbias	0.617590655	Ovary_mean	0.0906	0.1333	1.471
TRINITY_DN132312_c6_g1_i1	NA	NA	NA	NA	0.080662668	unbias	0.31384415	Brain_mmean	0.001	0.0005	0.5374
TRINITY_DN132314_c2_g7_i2	LOC100496869	scaffold_178	17378	17378	0.426074051	unbias	0.799856092	Brain_mmean	0.0397	0.042	1.0587
TRINITY_DN132317_c1_g1_i4	NA	NA	NA	NA	0.95672608	unbias	0.616111309	Brain_fmean	0.0342	0.0574	1.6751
TRINITY_DN132317_c2_g2_i3	NA	NA	NA	NA	0.096426193	unbias	0.338085656	G43_M_mean	0.1945	0.1695	0.8713
TRINITY_DN132324_c0_g1_i2	NA	NA	NA	NA	-0.116900601	unbias	0.3448399	Ovary_mean	0.0371	0.0667	1.7977
TRINITY_DN132328_c0_g3_i1	NA	NA	NA	NA	0.051691139	unbias	0.782086932	Brain_fmean	0.0824	0.1499	1.8192
TRINITY_DN132328_c1_g1_i1	NA	NA	NA	NA	0.462458163	unbias	0.449349963	Ovary_mean	0.1146	0.2122	1.8521
TRINITY_DN132329_c0_g1_i2	NA	NA	NA	NA	0.541028568	unbias	0.597984886	Liver_mmean	0.1606	0.266	1.6567
